,names,rating,review,cuisine,specdiet,min_price,max_price,url,address,latitude,longtitude,distance
0,Shame GastroBar,5.0,89,NotArmenian,Vegetarian,2,10,https://www.tripadvisor.com/Restaurant_Review-g293932-d13157429-Reviews-Shame_GastroBar-Yerevan.html,"Movses Khorenatsi St., 2, Yerevan 0002 Armenia",44.506141,40.178841,1.007635443570996
1,Livingston Restaurant,5.0,74,NotArmenian,NotVegetarian,31,62,https://www.tripadvisor.com/Restaurant_Review-g293932-d19316644-Reviews-Livingston_Restaurant-Yerevan.html,"Tsitsernakaberd Park, 1, Yerevan 0028 Armenia",44.481438,40.186772,3.709627854618635
2,Katsa,5.0,344,Armenian,Vegetarian,0,20,https://www.tripadvisor.com/Restaurant_Review-g293932-d17577984-Reviews-Katsa-Yerevan.html,"Mesrop Mashtots Avenue, 5A, Yerevan 0002 Armenia",44.504641,40.178745,1.1686193538862732
3,Indian Mehak Restaurant & Bar,5.0,338,NotArmenian,Vegetarian,6,10,https://www.tripadvisor.com/Restaurant_Review-g293932-d10818164-Reviews-Indian_Mehak_Restaurant_Bar-Yerevan.html,"Koryun str. 10 Walking Distance from republic square, Yerevan 0009 Armenia",44.523093,40.188804,1.0400998448887573
4,Akori,5.0,133,Armenian,Vegetarian,5,50,https://www.tripadvisor.com/Restaurant_Review-g293932-d12707466-Reviews-Akori-Yerevan.html,"Tsitsernakaberd Park, Yerevan 0001 Armenia",44.481438,40.186772,3.709627854618635
5,Tavern Yerevan Riverside,5.0,230,Armenian,Vegetarian,10,17,https://www.tripadvisor.com/Restaurant_Review-g293932-d14168426-Reviews-Tavern_Yerevan_Riverside-Yerevan.html,"Isakov Ave.,48A, Yerevan 0082 Armenia",44.498191,40.172674,2.010433113065715
6,Babylon Restaurant,5.0,107,NotArmenian,Vegetarian,15,35,https://www.tripadvisor.com/Restaurant_Review-g293932-d14216337-Reviews-Babylon_Restaurant-Yerevan.html,"Pavstos Buzand St.,91, Yerevan 0092 Armenia",44.507076,40.182941,0.8484244158880154
7,EL Garden,4.5,621,Armenian,Vegetarian,10,14,https://www.tripadvisor.com/Restaurant_Review-g293932-d7929079-Reviews-EL_Garden-Yerevan.html,"Tsitsernakaberd Park 8, Yerevan 0013 Armenia",44.512546,40.177628,0.48897940208419083
8,Gata Tavern,4.5,382,Armenian,Vegetarian,2,10,https://www.tripadvisor.com/Restaurant_Review-g293932-d4590368-Reviews-Gata_Tavern-Yerevan.html,"Tumanyan O. str. 22, Yerevan 0001 Armenia",44.510579,40.186351,0.5315858112228484
9,Tapastan,4.5,299,Armenian,Vegetarian,6,15,https://www.tripadvisor.com/Restaurant_Review-g293932-d8263647-Reviews-Tapastan-Yerevan.html,"Saryan 6 Next to in Vino, Yerevan 0002 Armenia",44.508791,40.187033,0.7324703490573166
10,Ethnoloft Restaurant,5.0,63,Armenian,Vegetarian,2,31,https://www.tripadvisor.com/Restaurant_Review-g293932-d17165537-Reviews-Ethnoloft_Restaurant-Yerevan.html,"Tumanyan str. 19, Yerevan 0060 Armenia",44.512546,40.177628,0.48897940208419083
11,Eat&Fit Healthy Food Cafe,4.5,321,NotArmenian,Vegetarian,1,10,https://www.tripadvisor.com/Restaurant_Review-g293932-d13016549-Reviews-Eat_Fit_Healthy_Food_Cafe-Yerevan.html,"Arami str. 80, Yerevan 0002 Armenia",44.507722,40.183961,0.7805247983062671
12,Dargett Craft Beer,4.5,511,NotArmenian,Vegetarian,2,8,https://www.tripadvisor.com/Restaurant_Review-g293932-d10170951-Reviews-Dargett_Craft_Beer-Yerevan.html,"Arami str. 72, Yerevan 0002 Armenia",44.508226,40.183602,0.7223119820227921
13,Anoush Restaurant,4.5,375,Armenian,Vegetarian,15,35,https://www.tripadvisor.com/Restaurant_Review-g293932-d7602601-Reviews-Anoush_Restaurant-Yerevan.html,"Amiryan str. 7/1 Republica Hotel Yerevan Ground floor, Yerevan 0010 Armenia",44.509196,40.179365,0.6769677911209516
14,Mozaic Sky Restaurant,4.5,170,NotArmenian,Vegetarian,5,50,https://www.tripadvisor.com/Restaurant_Review-g293932-d8090423-Reviews-Mozaic_Sky_Restaurant-Yerevan.html,"15 Khorenatsi St Elite Plaza, 17 and 18 Floor, Yerevan 0010 Armenia",44.510283,40.174479,0.8361922778515406
15,Tavern Yerevan,4.5,319,Armenian,Vegetarian,10,25,https://www.tripadvisor.com/Restaurant_Review-g293932-d8800814-Reviews-Tavern_Yerevan-Yerevan.html,"Khorenatsi M. str. 29/2, Yerevan 0010 Armenia",44.514999,40.165969,1.3530713563286116
16,Gouroo Club & Garden,4.5,166,Armenian,Vegetarian,6,18,https://www.tripadvisor.com/Restaurant_Review-g293932-d14101935-Reviews-Gouroo_Club_Garden-Yerevan.html,"Saryan St., 13, Yerevan 0002 Armenia",44.508378,40.18631,0.7518449238957352
17,El Chillout,5.0,60,NotArmenian,NotVegetarian,5,15,https://www.tripadvisor.com/Restaurant_Review-g293932-d14179310-Reviews-El_Chillout-Yerevan.html,"Tsitsernakaberd Park 8, Yerevan 0013 Armenia",44.512546,40.177628,0.48897940208419083
18,The Green Bean,4.5,537,NotArmenian,Vegetarian,3,10,https://www.tripadvisor.com/Restaurant_Review-g293932-d3326692-Reviews-The_Green_Bean-Yerevan.html,"Amiryan str. 10 Isahakyan 38, Yerevan 0010 Armenia",44.509339,40.180674,0.6245206469917705
19,Picasso Yerevan,5.0,71,Armenian,Vegetarian,15,50,https://www.tripadvisor.com/Restaurant_Review-g293932-d12883796-Reviews-Picasso_Yerevan-Yerevan.html,"Yeznik Koghbatsi St., 30/26, Yerevan 0010 Armenia",44.511603,40.181928,0.35539046594745105
20,Say Cheese,5.0,151,Armenian,Vegetarian,7,20,https://www.tripadvisor.com/Restaurant_Review-g293932-d10487242-Reviews-Say_Cheese-Yerevan.html,"26/2 Martiros Saryan Saryan Amiryan crossroads, Yerevan 0088 Armenia",44.504462,40.182927,1.1388997716423055
21,Smoking Chef Grill & Wine,4.5,120,Armenian,NotVegetarian,4,21,https://www.tripadvisor.com/Restaurant_Review-g293932-d14610092-Reviews-Smoking_Chef_Grill_Wine-Yerevan.html,"Pushkina str. 51, Yerevan 0010 Armenia",44.512546,40.177628,0.48897940208419083
22,Mayrig Yerevan,4.5,147,Armenian,Vegetarian,12,50,https://www.tripadvisor.com/Restaurant_Review-g293932-d15091391-Reviews-Mayrig_Yerevan-Yerevan.html,"Amiryan str. 4/6 Pavstos Buzand Street, Yerevan 0010 Armenia",44.512897,40.179289,0.35616479279773416
23,The Old House,4.5,80,Armenian,Vegetarian,4,21,https://www.tripadvisor.com/Restaurant_Review-g293932-d12439535-Reviews-The_Old_House-Yerevan.html,"Nalbandyan str. 3, Yerevan 0010 Armenia",44.515349,40.178986,0.3255322944017057
24,Charles Cafe & Restaurant,4.5,189,Armenian,Vegetarian,10,30,https://www.tripadvisor.com/Restaurant_Review-g293932-d3541129-Reviews-Charles_Cafe_Restaurant-Yerevan.html,"Tamanyan str. 3/40, Yerevan 0009 Armenia",44.514981,40.189707,0.5355416640134686
25,Artashi Mot,4.0,353,Armenian,Vegetarian,10,15,https://www.tripadvisor.com/Restaurant_Review-g293932-d798355-Reviews-Artashi_Mot-Yerevan.html,"C. Yervand Kochar 9/5 Yervand Kochari St., 9/5, Yerevan 0070 Armenia",44.518323,40.171055,1.0297272894589105
26,Room5,5.0,44,NotArmenian,Vegetarian,3,8,https://www.tripadvisor.com/Restaurant_Review-g293932-d13143579-Reviews-Room5-Yerevan.html,"Spendiaryan St., 5, Yerevan 0021 Armenia",44.512546,40.177628,0.48897940208419083
27,Tufenkian Kharpert Restaurant,4.5,133,Armenian,Vegetarian,10,30,https://www.tripadvisor.com/Restaurant_Review-g293932-d3766209-Reviews-Tufenkian_Kharpert_Restaurant-Yerevan.html,"Anrapyetutsyan str. 48, Yerevan 0010 Armenia",44.516364,40.176616,0.5384503579203702
28,The Coast Yerevan,4.5,88,NotArmenian,Vegetarian,4,14,https://www.tripadvisor.com/Restaurant_Review-g293932-d10543550-Reviews-The_Coast_Yerevan-Yerevan.html,"Tamanyan str. 2-2 Cascade, Yerevan 0009 Armenia",44.515816,40.188997,0.4937571973589403
29,Kavkazskaya Plennitsa,4.0,1156,Armenian,Vegetarian,2,50,https://www.tripadvisor.com/Restaurant_Review-g293932-d4179858-Reviews-Kavkazskaya_Plennitsa-Yerevan.html,"Amiryan str. 4/6, Yerevan 0010 Armenia",44.510507,40.179868,0.5287183973092424
30,Barcode,5.0,56,NotArmenian,Vegetarian,2,5,https://www.tripadvisor.com/Restaurant_Review-g293932-d10319220-Reviews-Barcode-Yerevan.html,"Mashtots M. ave 24, Yerevan 0002 Armenia",44.509663,40.182493,0.5622910270740717
31,Caucasus Tavern,4.0,462,Armenian,Vegetarian,2,40,https://www.tripadvisor.com/Restaurant_Review-g293932-d1100874-Reviews-Caucasus_Tavern-Yerevan.html,"Ashtarak Highway, Yerevan 2413 Armenia",44.442568,40.231691,8.90415145729803
